unidade;ano;mes;porte_i;porte_ii;porte_iii;porte_iv;sem_porte;total
HCM;2022;7;0;0;0;0;0;0
HCM;2022;8;0;0;0;0;0;0
HCM;2022;9;0;0;0;0;0;0
HCM;2022;10;0;0;0;0;0;0
HCM;2022;11;0;0;0;0;0;0
HCM;2022;12;0;0;0;0;0;0
HCM;2023;1;0;0;0;0;0;0
HCM;2023;2;0;0;0;0;0;0
HCM;2023;3;0;0;0;0;0;0
HCM;2023;4;0;0;0;0;0;0
HCM;2023;5;0;0;0;0;0;0
HCM;2023;6;0;0;0;0;0;0
HCM;2023;7;0;0;0;0;0;0
HCM;2023;8;0;0;0;0;0;0
HCM;2023;9;0;0;0;0;0;0
HCM;2023;10;0;0;0;0;0;0
HCM;2023;11;0;0;0;0;0;0
HCM;2023;12;0;0;0;0;0;0
HCM;2024;1;0;0;0;0;0;0
HCM;2024;2;0;0;0;0;0;0
HCM;2024;3;0;0;0;0;0;0
HCM;2024;4;0;0;0;0;0;0
HCM;2024;5;0;0;0;0;0;0
HCM;2024;6;0;0;0;0;0;0
HCM;2024;7;0;0;0;0;0;0
HCM;2024;8;0;0;0;0;0;0
HCM;2024;9;0;0;0;0;0;0
HCM;2024;10;0;0;0;0;0;0
HCM;2024;11;0;0;0;0;0;0
HCM;2024;12;0;0;0;0;0;0
HCM;2025;1;0;0;0;0;0;0
HCM;2025;2;0;0;0;0;0;0
HCM;2025;3;0;0;0;0;0;0
HCM;2025;4;0;0;0;0;0;0
HCM;2025;5;0;0;0;0;0;0
HCM;2025;6;0;0;0;0;0;0
HCM;2025;7;0;0;0;0;0;0
HCM;2025;8;0;0;0;0;0;0
HCM;2025;9;8;0;0;0;-8;0
HCM;2025;10;10;0;0;0;-10;0
HCM;2025;11;6;1;0;0;0;7
HCM;2025;12;9;0;0;0;0;9
HCM;2026;1;11;1;0;0;0;12
HCM;2026;2;40;4;0;0;0;44
HCM;2026;3;38;3;0;0;0;41
HCM;2026;4;43;4;0;0;0;47
HCM;2026;5;40;3;0;0;0;43
HEM;2019;1;81;0;0;0;0;81
HEM;2019;2;70;0;0;0;0;70
HEM;2019;3;43;0;0;0;0;43
HEM;2019;4;39;0;0;0;0;39
HEM;2019;5;94;0;0;0;0;94
HEM;2019;6;68;0;0;0;0;68
HEM;2019;7;76;0;0;0;0;76
HEM;2019;8;82;1;0;0;0;83
HEM;2019;9;80;3;1;0;0;84
HEM;2019;10;78;4;0;0;0;82
HEM;2019;11;67;0;0;0;0;67
HEM;2019;12;61;2;0;0;0;63
HEM;2020;1;59;1;0;1;0;61
HEM;2020;2;47;0;0;0;0;47
HEM;2020;3;57;2;0;0;0;59
HEM;2020;4;0;0;0;0;0;0
HEM;2020;5;0;0;0;0;0;0
HEM;2020;6;0;0;0;0;0;0
HEM;2020;7;0;0;0;0;0;0
HEM;2020;8;0;0;0;0;0;0
HEM;2020;9;0;0;0;0;0;0
HEM;2020;10;17;0;0;0;0;17
HEM;2020;11;19;0;0;0;0;19
HEM;2020;12;0;0;0;0;0;0
HEM;2021;1;0;0;0;0;0;0
HEM;2021;2;0;0;0;0;0;0
HEM;2021;3;0;0;0;0;0;0
HEM;2021;4;0;0;0;0;0;0
HEM;2021;5;0;0;0;0;0;0
HEM;2021;6;0;0;0;0;0;0
HEM;2021;7;0;0;0;0;0;0
HEM;2021;8;25;0;0;0;0;25
HEM;2021;9;18;0;0;0;0;18
HEM;2021;10;21;0;0;0;0;21
HEM;2021;11;24;0;0;0;0;24
HEM;2021;12;31;0;0;0;0;31
HEM;2022;1;30;0;0;0;0;30
HEM;2022;2;31;0;0;0;0;31
HEM;2022;3;67;0;0;0;0;67
HEM;2022;4;47;0;0;0;0;47
HEM;2022;5;0;0;0;0;0;0
HEM;2022;6;66;0;0;0;0;66
HEM;2022;7;37;0;0;0;0;37
HEM;2022;8;52;0;0;0;0;52
HEM;2022;9;52;0;0;0;0;52
HEM;2022;10;27;0;0;0;0;27
HEM;2022;11;46;0;0;0;0;46
HEM;2022;12;51;0;0;0;0;51
HEM;2023;1;33;0;0;0;0;33
HEM;2023;2;41;0;0;0;-41;0
HEM;2023;3;65;0;0;0;0;65
HEM;2023;4;52;0;0;0;0;52
HEM;2023;5;55;0;0;0;0;55
HEM;2023;6;49;0;0;0;0;49
HEM;2023;7;52;1;0;0;0;53
HEM;2023;8;63;0;0;0;-63;0
HEM;2023;9;50;0;1;0;0;51
HEM;2023;10;59;1;0;0;0;60
HEM;2023;11;53;5;1;0;0;59
HEM;2023;12;56;3;0;0;0;59
HEM;2024;1;38;1;0;0;0;39
HEM;2024;2;47;1;1;0;0;49
HEM;2024;3;68;0;0;0;0;68
HEM;2024;4;59;3;0;0;0;62
HEM;2024;5;53;4;0;0;0;57
HEM;2024;6;70;4;0;0;0;74
HEM;2024;7;52;1;0;0;0;53
HEM;2024;8;60;0;0;0;0;60
HEM;2024;9;55;1;0;0;0;56
HEM;2024;10;47;1;0;0;0;48
HEM;2024;11;41;1;0;0;0;42
HEM;2024;12;27;1;1;0;0;29
HEM;2025;1;35;1;0;0;0;36
HEM;2025;2;29;0;0;0;0;29
HEM;2025;3;31;0;0;0;0;31
HEM;2025;4;43;0;0;0;0;43
HEM;2025;5;43;0;0;0;0;43
HEM;2025;6;24;1;0;1;0;26
HEM;2025;7;37;1;0;0;0;38
HEM;2025;8;32;2;0;0;0;34
HEM;2025;9;48;3;0;0;1;52
HEM;2025;10;57;3;1;0;0;61
HEM;2025;11;36;3;1;0;1;41
HEM;2025;12;36;0;1;1;1;39
HEM;2026;1;44;6;0;0;0;50
HEM;2026;2;77;5;0;0;1;83
HEM;2026;3;53;1;0;0;0;54
HEM;2026;4;77;4;0;0;0;81
HEM;2026;5;68;1;1;0;1;71
HJK;2019;1;96;55;8;3;225;387
HJK;2019;2;86;79;16;5;223;409
HJK;2019;3;63;74;22;1;210;370
HJK;2019;4;75;72;20;5;222;394
HJK;2019;5;74;77;28;8;214;401
HJK;2019;6;71;79;11;2;196;359
HJK;2019;7;96;73;19;2;202;392
HJK;2019;8;60;75;18;2;207;362
HJK;2019;9;76;85;17;3;195;376
HJK;2019;10;67;65;15;9;180;336
HJK;2019;11;90;62;13;1;217;383
HJK;2019;12;64;74;14;5;189;346
HJK;2020;1;100;46;7;0;204;357
HJK;2020;2;69;65;19;4;191;348
HJK;2020;3;50;67;12;4;216;349
HJK;2020;4;16;21;9;1;167;214
HJK;2020;5;16;16;6;2;196;236
HJK;2020;6;2;1;1;0;162;166
HJK;2020;7;4;3;3;0;174;184
HJK;2020;8;3;6;0;0;166;175
HJK;2020;9;2;7;2;0;168;179
HJK;2020;10;17;12;1;0;189;219
HJK;2020;11;18;6;2;0;173;199
HJK;2020;12;6;4;1;0;188;199
HJK;2021;1;8;9;3;0;168;188
HJK;2021;2;9;10;3;0;170;192
HJK;2021;3;7;12;1;0;185;205
HJK;2021;4;5;2;0;0;134;141
HJK;2021;5;4;8;0;0;154;166
HJK;2021;6;1;5;2;0;134;142
HJK;2021;7;6;12;5;0;174;197
HJK;2021;8;11;9;3;0;183;206
HJK;2021;9;51;12;5;0;106;174
HJK;2021;10;6;13;2;1;185;207
HJK;2021;11;14;12;3;2;171;202
HJK;2021;12;7;13;4;1;169;194
HJK;2022;1;9;6;2;0;175;192
HJK;2022;2;11;8;2;1;142;164
HJK;2022;3;7;19;2;0;174;202
HJK;2022;4;11;10;1;0;192;214
HJK;2022;5;9;16;2;0;159;186
HJK;2022;6;10;16;4;0;160;190
HJK;2022;7;5;10;4;0;148;167
HJK;2022;8;20;11;4;0;158;193
HJK;2022;9;19;16;6;0;172;213
HJK;2022;10;23;18;6;1;137;185
HJK;2022;11;8;17;1;0;130;156
HJK;2022;12;9;19;3;1;164;196
HJK;2023;1;18;19;3;0;126;166
HJK;2023;2;15;19;1;0;142;177
HJK;2023;3;44;27;1;1;155;228
HJK;2023;4;79;19;5;1;148;252
HJK;2023;5;120;35;6;2;166;329
HJK;2023;6;115;39;9;2;159;324
HJK;2023;7;143;37;14;3;162;359
HJK;2023;8;192;44;11;4;174;425
HJK;2023;9;254;63;17;2;168;504
HJK;2023;10;140;83;15;1;125;364
HJK;2023;11;194;48;11;1;161;415
HJK;2023;12;172;49;16;1;137;375
HJK;2024;1;126;49;8;4;179;366
HJK;2024;2;166;53;7;2;173;401
HJK;2024;3;169;49;5;2;175;400
HJK;2024;4;196;68;19;2;158;443
HJK;2024;5;158;70;25;9;168;430
HJK;2024;6;194;91;21;11;143;460
HJK;2024;7;203;76;16;5;173;473
HJK;2024;8;237;72;25;5;169;508
HJK;2024;9;222;64;16;6;150;458
HJK;2024;10;216;78;24;12;155;485
